TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
2120,KISII,IKONGE MAGWAGWA ROAD,KERUBE,THE VEHICLE LOST CONTROL WHILE NEGOTIATING A CORNER,M,30,26.0,DRIVER,1,2016-06-09,2016,21.0,0
2345,NAKURU,OLENGURUONE ROAD,NYARUI,THE CYCLE RAMMED INTO THE VEHICLE,M,47,26.0,P/PASSENGER,1,2016-06-09,2016,23.0,0
1100,MURANG'A,MURANG'A SAGANA,NEAR SAGANA,THE CYCLE LOST CONTROL AND FELL OFF,M,A,98.0,M/CYCLIST,1,2016-06-08,2016,11.0,0
1800,KERICHO,KERICHO NAKURU,CHAGAIK,HIT AND RUN,M,35,98.0,M/CYCLIST,1,2016-06-08,2016,18.0,1
2200,KWALE,LUNGALUNGA VANGA,LUNGALUNGA SHOPPING CENTRE,THE KMDK HIT THE REAR OF THE OTHER CYCLE,M,17,10.0,P/PASSENGER,1,2016-06-08,2016,22.0,0
1800,MAKUENI,WOTE MAKINDU,KISENE BRIDGE,THE VEHICLE LOST CONTROL AND PLUNGED INTO THE MISEKE BRIDGE,M,A,26.0,PASSENGER,5,2016-06-08,2016,18.0,1
1230,MIGORI,KEHANCHA NTIMARU,KEHANCHA TOWN,HIT AND RUN,M,A,98.0,M/CYCLIST,1,2016-06-08,2016,12.0,0
1230,MIGORI,KEHANCHA NTIMARU,KEHANCHA TOWN,HIT AND RUN,M,A,98.0,P/PASSENGER,1,2016-06-08,2016,12.0,0
810,KAKAMEGA,ELDORET WEBUYE,CHEMOI,HIT AND RUN,M,23,98.0,PEDESTRIAN,1,2016-06-07,2016,8.0,1
915,MAKUENI,KABATI TOWNSHIP,KABATI TOWNSHIP,THE VEHICLE HIT THE M/CYCLIST,M,70,10.0,M/CYCLIST,1,2016-06-07,2016,9.0,1
1530,NAIROBI,KANGUNDO,KAMULU,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,,PEDESTRIAN,1,2016-06-07,2016,15.0,0
2055,NAIROBI,LUSAKA,CAR AND GENERAL,THE VEHICLE LOST CONTROL AND OVERTURNED,F,A,26.0,PASSENGER,1,2016-06-07,2016,20.0,0
30,MIGORI,KEHANCHA NTIMARU,KEHANCHA TOWN,HIT AND RUN,M,A,98.0,M/CYCLIST,1,2016-06-07,2016,0.0,0
1710,VIHIGA,KAKAMEGA KISUMU,STANDIKISIA,THE VEHICLE LOST CONTROL AND HIT THE VICTIM,M,18,26.0,M/CYCLIST,1,2016-06-07,2016,17.0,1
700,KILIFI,MOMBASA-NAIROBI,MAZERAS,HIT & RAN,M,41,98.0,PEDESTRIAN,1,2016-06-06,2016,7.0,1
1130,KAJIADO,KITENGELA-KAJIADO,STAGE 22,THE VEHICLE HIT A PEDESTRIAN WHO WAS CROSSING THE ROAD,M,A,59.0,PEDESTRIAN,1,2016-06-06,2016,11.0,0
2030,MACHAKOS,MATUU-THIKA,KWA MAKAA,THE HILLUX FAILED TO KEEP DISTANCE AND HIT A TRACTOR,M,48,10.0,PASSENGER,1,2016-06-06,2016,20.0,0
1925,MAKUENI,MOMBASA-NAIROBI,KIUNDWANI,HEAD ON COLLISION,M,A,10.0,MOTOR CYCLIST,1,2016-06-06,2016,19.0,1
1930,GARISSA,GARISSA ROAD,ELDERE,"THE STEERING ROD BROKE, LOST CONTROL & LANDED ON THE LEFT","2M, F",A,80.0,PASSENGERS,3,2016-06-06,2016,19.0,1
