TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
1400,KIRINYAGA,SAGANA MURANGA,KATHAMBA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,42,,PEDESTRIAN,1,2017-10-22,2017,14.0,0
1330,BUSIA,AKUBWOIT KWANGAMOR ROAD,AKUBWOIT,HEAD ON COLLISION,M,31,7.0,M/CYCLIST,1,2017-10-22,2017,13.0,0
1600,KIAMBU,NAIROBI NAIVASHA,REGENT,THE VEHICLE KNOCKED DOWN THE VICTIM,M,32,68.0,PEDESTRIAN,1,2017-10-22,2017,16.0,0
1640,MACHAKOS,NAIROBI MOMBASA ROAD,MOMBASA CEMENT,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,60.0,PEDESTRIAN,1,2017-10-22,2017,16.0,0
2140,NAIROBI,MOMBASA ROAD,GATEWAY MALL,THE VEHICLE KNOCKED DOWN THE VICTIM,F,26,,PEDESTRIAN,1,2017-10-22,2017,21.0,0
2230,NAIROBI,WANGARI MATHAAI,SHIKH UNION,HIT AND RUN,M,34,,PEDESTRIAN,1,2017-10-22,2017,22.0,0
UNKNOWN TIME,KILIFI,MALINDI MOMBASA,MIDA SCHOOL,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2017-10-22,2017,,0
1000,MOMBASA,OLD MOMBASA MALINDI,UTANGE,HIT AND RUN,M,37,13.0,PEDESTRIAN,1,2017-10-22,2017,10.0,0
2000,MACHAKOS,KATHEKAI,KATHEKAI,THE VEHICLE LOST CONTROL AND OVERTURNED,M,A,,DRIVER,1,2017-10-22,2017,20.0,0
630,KAKAMEGA,KAKAMEGA WEBUYE,,THE VEHICLE KNOCKED DOWN THE VICTIM,M,17,26.0,P/PASSENGER,1,2017-10-18,2017,6.0,1
1210,NAIROBI,RABAI ROAD,JUNCTION NEAR UHURU EASTATE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2017-10-18,2017,12.0,0
1030,NAKURU,NAKURU ELDORET,NEAR SACHANGWAN AREA,THE CANTER RAMMED INTO THE TRAILER,M,30,10.0,PASSENGER,1,2017-10-18,2017,10.0,0
1400,SIAYA,BONDO USENGE,AT ODONGO JUNCTION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,10,59.0,PEDESTRIAN,1,2017-10-18,2017,14.0,0
800,NYANDARUA,OLJOROROK OLKALAU,GWA KAHIHI,HIT AND RUN,M,40,98.0,PEDESTRIAN,1,2017-10-16,2017,8.0,1
900,MACHAKOS,NAIROBI MOMBASA ROAD,MLOLONGO WEIGHBRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,61.0,PEDESTRIAN,1,2017-10-16,2017,9.0,1
1350,NAIROBI,LUSAKA ROAD,NEAR DT DOBIE STAGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2017-10-16,2017,13.0,0
2130,KISUMU,KISUMU KAKAMEGA,NEAR KONDELE TOWN,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2017-10-16,2017,21.0,0
2000,BUNGOMA,KITALE WEBUYE,KAMUKUYWA RIVER SIDE,HEAD ON COLLSION,M,30,7.0,P/PASSENGER,1,2017-10-16,2017,20.0,0
730,NAKURU,WITHIN JAMUHURI PRIMARY SCHOOL,JAMUHURI PRIMARY SCHOOL,THE VEHICLE KNOCKED DOWN THE VICTIM,F,7,26.0,PEDESTRIAN,1,2017-10-12,2017,7.0,1
1800,MURANGA,KANGEMA MURANGA,NEAR ST. MARYS CATHOLIC CHURCH,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,25,7.0,PEDESTRIAN,1,2017-10-12,2017,18.0,1
2040,BUNGOMA,WEBUYE BUNGOMA,JOYLAND AREA,HIT AND RUN,M,A,98.0,PEDESTRIAN,2,2017-10-12,2017,20.0,0
2000,MAKUENI,WOTE MAKUENI,NEAR KAITI BRIDGE,HEAD ON COLLISION,M,A,98.0,M/CYCLIST,1,2017-10-12,2017,20.0,0
700,MURANGA,NANYUKI NAIROBI,MUKEU,THE VEHICLE GOT A TYRE BURST AND ROLLED SEVERAL TIMES,M,A,79.0,PASSENGER,2,2017-10-10,2017,7.0,1
600,NYAMIRA,NYAMIRA NYAMAIYA,MAPUTI,THE CYCLE RAMMED INTO THE LORRY,M,A,26.0,M/CYCLIST,1,2017-10-10,2017,6.0,1
2200,NAKURU,NAIROBI NAKURU,NYAMATHI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,60.0,PEDESTRIAN,1,2017-10-10,2017,22.0,0
1000,KIRINYAGA,SAGANA KAGIO,GACHARU,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,11.0,PEDESTRIAN,1,2017-10-10,2017,10.0,0
2245,KIAMBU,THIKA SUPERHIGHWAY,TROJAN,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,63.0,PEDESTRIAN,1,2017-10-10,2017,22.0,0
345,NAKURU,GILGIL NAKURU,KIKOPEY AREA,HEAD ON COLLISION,M,A,11.0,DRIVER,1,2017-09-21,2017,3.0,0
UNKNOWN,NAIROBI,MOMBASA ROAD,OPPOSITE KANISANI AREA,HIT & RUN,M,A,98.0,PEDESTRIAN,1,2017-09-21,2017,,0
1430,NAIROBI,BISHOP ROAD JUNCTION,SIXTH AVENUE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,M/CYCLIST,1,2017-09-21,2017,14.0,0
1530,NYERI,NYERI NANYUKI,NEAR BROOKSIDE AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,11,98.0,PEDESTRIAN,1,2017-09-21,2017,15.0,0
1600,BARINGO,MARIGAT MOGOTIO,NATO AREA,THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,26.0,PASSENGER,1,2017-09-21,2017,16.0,0
2030,NAIROBI,OUTERING ROAD,OPPOSITE TASSIA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,60.0,PEDESTRIAN,1,2017-09-21,2017,20.0,0
1700,MACHAKOS,KANGUNDO MACHAKOS,TUMBA BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2017-09-21,2017,17.0,1
2140,NAIROBI,HAILE SELASIE AVENUE,NEAR JESUS IS ALIVE MINISTRIES,HIT & RUN,M,28,98.0,PEDESTRIAN,1,2017-09-21,2017,21.0,0
2210,NAIROBI,WAIYAKI WAY,KANGEMI FLYOVER,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,60.0,PEDESTRIAN,1,2017-09-21,2017,22.0,0
2030,KILIFI,KILIFI-MALINDI,KWACHOKWE,HEAD ON COLLISION,M,A,26.0,DRIVER,1,2017-09-19,2017,20.0,0
2000,TAITA TAVETA,MOMBASA-NAIROBI,MASIENYI,THE VEHICLE LOST CONTROL AND RAMMED INTO A CULVERT,M,A,26.0,DRIVER,1,2017-09-19,2017,20.0,0
1630,SIAYA,SIAYA-DOMINION,AWELO,THE VEHICLE HIT THE MOTOR CYCLE,M,A,26.0,M/CYCLIST,1,2017-09-19,2017,16.0,0
2040,KISUMU,KONDOLE-NYAMASARIA,NYAMASARIA FLY OVER,THE UNKNOWN VEHICLE HIT THE MOTOR CYCLE,M,A,98.0,M/CYCLIST,1,2017-09-19,2017,20.0,0
1900,MURANGA,MURANGA-KIRIANI,GATURI,THE MOTOR CYCLE RAMMED INTO THE MOTOR VEHICLE,M,A,26.0,M/CYCLIST,1,2017-09-19,2017,19.0,1
1800,NAIROBI,KANGUNDO ROAD,KAMULU AREA,THE VEHICLE HIT A PEDAL CYCLE,M,A,7.0,PEDAL CYCLIST,1,2017-09-19,2017,18.0,1
1820,NAIROBI,JUJA ROAD,STAGE 10,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,7.0,PEDESTRIAN,1,2017-09-19,2017,18.0,1
720,NAKURU,ELBURGON-NJORO,NJORO AREA,THE LORRY LOST CONTROL AND RAMMED INTO A CULVERT,M,A,26.0,PASSENGER,1,2017-09-19,2017,7.0,1
430,KAJIADO,MAGADI ROAD,MAASAI LODGE STAGE,HIT & RUN,F,32,98.0,PEDESTRIAN,1,2017-09-18,2017,4.0,0
600,MAKUENI,MAKINDU-KOSEWE,MAKINDU AREA,THE MOTOR CYCLE LOST CONTROL AND HIT A TREE,M,A,7.0,M/CYCLIST,1,2017-09-18,2017,6.0,1
1630,KERICHO,LONDIANI-KERICHO,CHEPSEON AREA,HEAD ON COLLISION,M,A,26.0,M/CYCLIST,1,2017-09-18,2017,16.0,0
2130,UASIN GISHU,ELDORET-KAPSABET,KAPSABET SHOPPING CENTRE,HEAD ON COLLISION,M,70,8.0,PASSENGER,1,2017-09-18,2017,21.0,0
2230,NANDI,KAPSABET-LESSOS,KAMUNJIL AREA,HEAD ON COLLISION,M,35,37.0,M/CYCLIST,1,2017-09-18,2017,22.0,0
2050,MAKUENI,NAIROBI - MOMBASA,MASIMBA AREA,THE MOTOR CYCLE LOST CONTROL AND HIT A HUGE STONE WHERE HE FELL DOWN,M,59,7.0,M/CYCLIST,1,2017-09-18,2017,20.0,0
130,NAIROBI,EASTERN BY PASS,NEAR CHINA KENYA,HEAD ON COLLISION,M,A,26.0,DRIVER,1,2017-09-17,2017,1.0,0
630,KIAMBU,MUKARARA KIUNYU,AT A CORNER,THE CYCLE LOST CONTROL AND HIT A CULVERT,M,A,26.0,M/CYCLIST,1,2017-09-17,2017,6.0,1
630,KIAMBU,MUKARARA KIUNYU,AT A CORNER,THE CYCLE LOST CONTROL AND HIT A CULVERT,M,A,26.0,P/PASSENGER,1,2017-09-17,2017,6.0,1
1640,NAIROBI,EASTERN BY PASS,GATE TO 75 TANK BATTALION CAMP,THE VEHICLE KNOCKED DOWN THE CYCLE,M,A,29.0,M/CYCLIST,1,2017-09-17,2017,16.0,0
1645,BUNGOMA,MATISI NZOIA,,THE VEHICLE KNOCKED DOWN THE VICTIM,M,12,98.0,PEDESTRIAN,1,2017-09-17,2017,16.0,0
2130,KAJIADO,ISINYA KITENGELA,NEAR KOBIL PETROL STN,HIT AND RUN,M,21,63.0,PEDESTRIAN,1,2017-09-17,2017,21.0,0
2345,KIAMBU,THIKA MATUU,AT LEATHER,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2017-09-17,2017,23.0,0
5,KIRINYAGA,KAGUMO KERUGOYA,GATWE JUNCTION,HEAD ON COLLISION,M,A,54.0,M/CYCLIST,1,2017-09-17,2017,0.0,0
5,KIRINYAGA,KAGUMO KERUGOYA,GATWE JUNCTION,HEAD ON COLLISION,M,A,54.0,P/PASSENGER,4,2017-09-17,2017,0.0,0
30,MURANGA,MURANGA KANGEMA,ST MARY AREA,HEAD ON COLLISION,M,20,8.0,M/CYCLIST,1,2017-09-17,2017,0.0,0
2200,MACHAKOS,NAIROBI MOMBASA,SABAKI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,32,60.0,PEDESTRIAN,1,2017-09-17,2017,22.0,0
2030,MERU,MERU MAUA,NEAR KITHARE PRI. SCH,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,29.0,PEDESTRIAN,1,2017-09-17,2017,20.0,0
430,NAKURU,NYAURURU NAKURU,KIRENGERO BRIDGE,THE VEHICLE LOST CONTROLAND ROLLED SEVERAL TIMES,M,A,98.0,DRIVER,1,2017-09-17,2017,4.0,0
1330,KISUMU,KISUMU BUSIA,CHULAIMBO AREA,HEAD ON COLLISION,M,33,39.0,M/CYCLIST,1,2017-09-13,2017,13.0,0
1330,KISUMU,KISUMU BUSIA,CHULAIMBO AREA,HEAD ON COLLISION,F,A,39.0,P/PASSENGER,2,2017-09-13,2017,13.0,0
1200,WEST POKOT,MAKUTANO KITALE ROAD,,HEAD ON COLLISION,M,A,8.0,M/CYCLIST,1,2017-09-13,2017,12.0,0
5,EMBU,EMBU KIRITIRI,MUNATHIRI AREA,THE LORRY LOST CONTROL AND OVERTURNED,M,45,26.0,PASSENGER,1,2017-09-13,2017,0.0,0
1730,KIAMBU,THIKA SUPER HIGHWAY,TROJAN PETROL STN,THE CYCLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,54.0,P/PASSENGER,1,2017-09-13,2017,17.0,1
2340,KIAMBU,KIBOKO THIKA,UTI JUNCTION,THE CYCLE LOST CONTROL AND HIT A TREE,M,A,26.0,M/CYCLIST,1,2017-09-13,2017,23.0,0
2230,NAIROBI,JOGOO ROAD,CHURCH ARMY STAGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,44,7.0,PEDESTRIAN,1,2017-09-11,2017,22.0,0
1945,KIAMBU,EASTERN BY PASS,MEMBLEY,THE VEHICLE KNOCKED DOWN THE VICTIM,M,J,63.0,PEDESTRIAN,1,2017-09-11,2017,19.0,1
2000,KISUMU,AHERO AWASI,KABONGO,THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,26.0,PASSENGER,2,2017-09-11,2017,20.0,0
1700,KIAMBU,THIKA NAIROBI,GITHURAI,THE CONDUCTOR FELL FROM THE MOVING VEHICLE,M,A,73.0,PASSENGER,1,2017-09-11,2017,17.0,1
1545,KWALE,MBUGUNI CHECK POINT,KITEJE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,7.0,PEDESTRIAN,1,2017-09-11,2017,15.0,0
1100,TIGANIA,GATHITHINI LUNATIC,MARIBA,HIT & RUN,M,70,67.0,PEDESTRIAN,1,2017-09-07,2017,11.0,0
1345,KIAMBU,KIAMBU-THIKA,NGOIWA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,68.0,PEDESTRIAN,1,2017-09-07,2017,13.0,0
640,KIAMBU,LIMURU RUAKA,KIANJOGU,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,F,10,26.0,PEDESTRIAN,1,2017-09-07,2017,6.0,1
2000,KIAMBU,NORTHERN BY PASS,NJATHAINI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,36.0,PEDESTRIAN,1,2017-09-07,2017,20.0,0
2010,BUNGOMA,KIMILILI-MIIKHU,MATILI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,11.0,PEDESTRIAN,1,2017-09-07,2017,20.0,0
UNKNOWN TIME,MACHAKOS,KITHIMANI KIMANGU,KAUMONI AREA,THE CYCLE LOST CONTROL AND LANDED INTO A DITCH,M,40,47.0,M/CYCLIST,1,2017-09-06,2017,,0
1530,NAIROBI,THIKA SUPER HIGHWAY,NEAR ROASTERS,THE LORRY GOT A TYRE BURST AND LOST CONTROL HITTING THE BUS WHICH VEERED OFF THE ROAD AND HIT THE MATATU,M,A,79.0,DRIVER,1,2017-09-06,2017,15.0,0
1530,NAIROBI,THIKA SUPER HIGHWAY,NEAR ROASTERS,THE LORRY GOT A TYRE BURST AND LOST CONTROL HITTING THE BUS WHICH VEERED OFF THE ROAD AND HIT THE MATATU,M & F,A,79.0,PASSENGER,9,2017-09-06,2017,15.0,0
1900,NAKURU,NAKURU NAIROBI,NEAR LAIKIPIA CAMPUS,HEAD ON COLLISION,M,A,10.0,DRIVER,1,2017-09-06,2017,19.0,1
700,NAIROBI,MOMBASA,LUSAKA R/ABOUT,THE TOYOTA MARK II HIT THE NISSAN BLUE,M,A,37.0,DRIVER,1,2017-09-03,2017,7.0,1
400,KIAMBU,NAIROBI NAIVASHA,VIEW POINT,HEAD ON COLLISION,M,47,37.0,DRIVER,1,2017-09-03,2017,4.0,0
UNKNOWN TIME,MURANGA,MURANGA GITU,GIYAKARENGO,THE CYCLE LOST CONTROL AND RAMMED INTO A HEAP OF MURRAM,M,A,7.0,P/PASSENGER,1,2017-09-03,2017,,0
1000,MERU,MERU MAUA,NGUNDUNE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,P/PASSENGER,1,2017-09-03,2017,10.0,0
1230,KITUI,KAUMA MATINYANI,MATINYANI,THE VICTIM FELL DOWN FROM THE CYCLE,F,4,64.0,P/PASSENGER,1,2017-09-03,2017,12.0,0
1945,KIRINYAGA,KERUGOYA BARICHO,EMMATEX BAR,HEAD ON COLLISION,M,A,8.0,M/CYCLIST,1,2017-09-03,2017,19.0,1
130,MURANGA,MURANGA SAGANA,NORKAS,HEAD ON COLLISION,M,A,7.0,M/CYCLIST,1,2017-09-03,2017,1.0,0
2200,MAKUENI,MOMBASA NAIROBI,LOITOKTOK JUNCTION,THE VICTIM FELL DOWN FROM THE CYCLE,F,45,50.0,P/PASSENGER,1,2017-09-03,2017,22.0,0
2315,NAIROBI,JOGOO,BURMA,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2017-09-03,2017,23.0,0
100,NAIROBI,WAIYAKI,N MARKET,THE VEHICLE LOST CONTROL AND ROLLED,M,A,26.0,PASSENGER,1,2017-09-03,2017,1.0,0
1420,NYAMIRA,KEROKA SOTIK,KIGOGI,THE VEHICLE LOST CONTROL AND LANDED IN A DITCH,M,A,26.0,M/CYCLIST,1,2017-08-31,2017,14.0,0
1440,KITUI,MWINGI GARISSA,NGUNI,THE VEHICLE RAMMED INTO A HERD OF CATTLE,M,A,29.0,PASSENGER,1,2017-08-31,2017,14.0,0
600,NYAMIRA,KEROKA-MASIMBA,ICHUNI AREA,THE MOTOR CYCLE HIT THE REAR OF THE LORRY,M,A,37.0,M/CYCLIST,1,2017-08-30,2017,6.0,1
630,KERICHO,MAU SUMMIT -KERICHO,JUBERT AREA,THE MATATU RAMMED INTO THE TRACTOR,M,A,29.0,DRIVER & PASSENGER,2,2017-08-30,2017,6.0,1
1320,KIAMBU,NAIROBI-NAIVASHA,KIMENDE STAGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,69,60.0,PEDESTRIAN,1,2017-08-30,2017,13.0,0
1030,MAKUENI,NAIROBI-MOMBASA,MAKINDU AREA SECTION 4 SGR CAMP,THE TRAILER HIT THE MOTOR CYCLE,F,A,10.0,P/PASSENGER,1,2017-08-30,2017,10.0,0
1820,NAIROBI,MUTHURWA ACCESS ROAD,NEAR MUTHURWA POLICE POST,THE VEHICLE KNOCKED DOWN THE VICTIM,M,28,98.0,PEDESTRIAN,1,2017-08-30,2017,18.0,1
2055,BUNGOMA,BUNGOMA-MUMIAS,MUSKOMA AREA,HIT & RUN,M,A,98.0,P/PASSENGER,1,2017-08-30,2017,20.0,0
940,EMBU,EMBU MANYATTA,LIANJOGU,THE VEHICLE KNOCKED DOWN THE VICTIM,M,60,26.0,PEDESTRIAN,1,2017-08-27,2017,9.0,1
1130,NAIROBI,KAYOLE,MASIMBA,THE VICTIM FELL DOWN WHILE THE VEHICLE WAS IN MOTION AND WAS OVER RAN,M,25,53.0,PASSENGER,1,2017-08-27,2017,11.0,0
1230,NYERI,NYERI KARATINA,WAMBUGU FARM,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,10.0,M/CYCLIST,1,2017-08-27,2017,12.0,0
1150,NAKURU,GILGIL NAKURU,SOYSAMBU,THE VEHICLE KNOCKED DOWN THE VICTIM,M,34,10.0,M/CYCLIST,1,2017-08-27,2017,11.0,0
1600,NYAMIRA,NYAMIRA IKONGE,IBARA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,98.0,PEDESTRIAN,1,2017-08-27,2017,16.0,0
1600,KAKAMEGA,KAKAMEGA WEBUYE,ANDITI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2017-08-27,2017,16.0,0
1700,KAKAMEGA,MUMIAS EBUYANGU,EBBWARIRO,THE VEHICLE GOT A TYRE BURST AND ROLLED SEVERAL TIMES,F,A,54.0,PASSENGER,2,2017-08-27,2017,17.0,1
1740,MANDERA,MANDERA MALKA SUFTU,DUAN,THE VICTIM FELL DOWN WHILE THE VEHICLE WAS IN MOTION AND WAS OVER RAN,M,A,28.0,PASSENGER,1,2017-08-27,2017,17.0,1
1810,NAKURU,NAIVASHA GILGIL,RAILWAY FLYOVER,THE CYCLE WAS HIT FROM BEHIND BY UNKNOWN VEHICLE,M,A,98.0,M/CYCLIST,1,2017-08-27,2017,18.0,1
1845,HOMA BAY,OYUGIS KISUMU,ATELA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,J,9.0,PEDESTRIAN,1,2017-08-27,2017,18.0,1
1930,KIAMBU,NAIROBI NAIVASHA,KIMENDE,HIT AND RUN,F,50,98.0,PEDESTRIAN,1,2017-08-27,2017,19.0,1
2000,KAKAMEGA,SHIATSALA MANYULIA,SHIANDA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,8.0,P/PASSENGER,1,2017-08-27,2017,20.0,0
2000,KAKAMEGA,SHIATSALA MANYULIA,SHIANDA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,8.0,M/CYCLIST,1,2017-08-27,2017,20.0,0
2130,NYERI,NYERI NANUKI,BANTU,HEAD ON COLLISION,M,,7.0,PASSENGER,3,2017-08-27,2017,21.0,0
1900,BOMET,KAPLETUNDO CHEBOLE,KAPLETUNDO,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,M,71,26.0,PEDESTRIAN,1,2017-08-27,2017,19.0,1
2300,KAJIADO,NGONG KISERIAN,KAURAI JUNCTION,THE VEHICLE HIT THE M/CYCLE FROM BEHIND,M,A,4.0,M/CYCLIST,1,2017-08-27,2017,23.0,0
2300,BOMET,KAPLONG BOMET,MIGINGO,HEAD ON COLLISION,M,A,8.0,P/PASSENGER,1,2017-08-27,2017,23.0,0
2300,BOMET,KAPLONG BOMET,MIGINGO,HEAD ON COLLISION,M,A,8.0,M/CYCLIST,1,2017-08-27,2017,23.0,0
2230,KWALE,MSAMBWENI UKUNDA,GASSI,HEAD ON COLLISION,M,A,26.0,DRIVER,1,2017-08-27,2017,22.0,0
1630,MERU,MERU MAUA,,THE CYCLE HIT THE MATATU AND THEN WAS OVERRAN BY THE SAME MATATU,M,A,26.0,P/PASSENGER,1,2017-08-27,2017,16.0,0
1630,MERU,MERU MAUA,,THE CYCLE HIT THE MATATU AND THEN WAS OVERRAN BY THE SAME MATATU,M,A,26.0,M/CYCLIST,1,2017-08-27,2017,16.0,0
1945,MAKUENI,KITISE KIKOME,KITISE SLAUGHTER,THE CYCLE LOST CONTROL AND HIT A TREE,M,25,26.0,PASSENGER,1,2017-08-27,2017,19.0,1
930,KAKAMEGA,SIGALAGALA-BUKURA,MALINYA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,4,29.0,PEDESTRIAN,1,2017-08-21,2017,9.0,1
1240,NAIROBI,NEW PUMWANI ROAD,ECHO ROUNDABOUT,THE M/CYCLE LOST CONTROL AND ROLLED,M,A,26.0,M/CYCLIST,1,2017-08-21,2017,12.0,0
1440,HOMA BAY,KENDU BAY-HOMA BAY,ADIEDO,THE PASSENGER FELL FROM THE VEHICLE WHILE ON MOTION,M,A,70.0,PASSENGER,1,2017-08-21,2017,14.0,0
700,NAIROBI,OUTERING,SHELL PETROL STATION,THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH,M,37,26.0,PASSENGER,1,2017-08-20,2017,7.0,1
830,NAIROBI,WAIYAKI WAY,ABC AREA,THE PASSENGER JUMPED OUT OFF THE VEHICLE AND FELL DOWN,M,A,58.0,PASSENGER,1,2017-08-20,2017,8.0,1
1440,NYERI,KARATINA-NYERI,KIANJOGU DAM,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,26.0,PEDESTRIAN,1,2017-08-20,2017,14.0,0
1645,NAIROBI,MUTHURWA,MUTHURWA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2017-08-20,2017,16.0,0
800,KAJIADO,NGONG KISERIAN,ROIMEN AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,7.0,PEDESTRIAN,1,2017-08-19,2017,8.0,1
930,MAKUENI,MOMBASA NAIROBI,KYULU AREA,HIT & RUN,M,A,63.0,PEDESTRIAN,1,2017-08-19,2017,9.0,1
1030,TAITA TAVETA,MOMBASA NAIROBI,NDARA AREA,HEAD ON COLLISION,F,A,10.0,PASSENGER,1,2017-08-19,2017,10.0,0
1100,MAKUENI,MUMBINI WOTE,MUMBINI AREA,HIT & RUN,M,A,98.0,PEDESTRIAN,1,2017-08-19,2017,11.0,0
1720,NAIROBI,KANGUNDO ROAD,KOMAROCK PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,72.0,PEDESTRIAN,1,2017-08-19,2017,17.0,1
1400,GARISSA,GARISSA IJARA,LUKA AREA,THE VEHICLE LOST CONTROL AND OVERTURNED,M,A,29.0,PASSENGER,2,2017-08-19,2017,14.0,0
715,KERICHO,KERICHO NAKURU ROAD,AT JUBERT AREA,THE VEHICLE RAMMED ON THE REAR OF THE TANKER LORRY,M,A,7.0,DRIVER,1,2017-08-18,2017,7.0,1
700,MAKUENI,MOMBASA NAIROBI,NEAR KIIMA JUNCTION,HEAD ON COLLISION,M,A,10.0,DRIVER,1,2017-08-18,2017,7.0,1
700,MAKUENI,MOMBASA NAIROBI,NEAR KIIMA JUNCTION,HEAD ON COLLISION,M,A,10.0,PASSENGER,1,2017-08-18,2017,7.0,1
1200,EMBU,UGWERI RUNYEJES ROAD,MWANANDEGA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,8,98.0,PEDESTRIAN,1,2017-08-18,2017,12.0,0
1630,KIAMBU,LIMURU NAIROBI,KIANJOGU AREA,HEAD ON COLLISION,M,35,72.0,DRIVER,2,2017-08-18,2017,16.0,0
1840,KERICHO,KERICHO-KISUMU,SAMUTET AREA,THE M/CYCLE LOST CONTROL AND LANDED INTO A DITCH,M,25,54.0,P/PASSENGER,1,2017-08-16,2017,18.0,1
2130,NYANDARUA,NYAHURURU-OLKALOU,OLJOROROK BRIDGE,HEAD ON COLLISION,M,A,10.0,M/CYCLIST,1,2017-08-16,2017,21.0,0
2100,NAIROBI,SOUTHERN BY PASS,NEAR RAILA ESTATE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,14,98.0,PEDESTRIAN,1,2017-08-16,2017,21.0,0
2200,KWALE,UKUNDA LIKONI ROAD,TIWI SPOTT AREA,HEAD ON COLLSION,M,27,10.0,DRIVER,1,2017-08-15,2017,22.0,0
1150,NYERI,NYERI NANYUKI ROAD,AT AIRSTRIP AREA,HEAD ON COLLSION,M,45,79.0,M/CYCLIT,1,2017-08-15,2017,11.0,0
1930,KAJIADO,KISERIAN MAGADI,MLIMA CHAIR LADY AREA,HEAD ON COLLSION,M,16,8.0,PASSENGER,1,2017-08-14,2017,19.0,1
1800,TAITA TAVETA,SOFIA ST BARANABUS CHURCH,NEAR SOFIA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,8,62.0,PEDESTRIAN,1,2017-08-14,2017,18.0,1
1630,EMBU,EMBU-MERU,AT MUFU AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,60,60.0,PEDESTRIAN,1,2017-08-13,2017,16.0,0
1745,MAKUENI,NAIROBI-MOMBASA,AT MAKINDU TOWN NEAR BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,28,64.0,PEDESTRIAN,1,2017-08-13,2017,17.0,1
2030,KIAMBU,THIKA-MATUU,AT MAGOGONI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,60,60.0,PEDESTRIAN,1,2017-08-13,2017,20.0,0
50,NAIROBI,THIKA SUPERHIGH WAY,NEAR UTALII COLLEGE,THE TOYOTA ISIS HIT THE TOYOTA FIELDER WHICH STALLED ON THE ROAD DUE TO MECHANICAL PROBLEMS,M,A,76.0,DRIVER,1,2017-08-13,2017,0.0,0
