id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,dominant_cause,dominant_cause_name
97.0,Kogi,Q2 2021,56,0,3,6,5,4,0,10,9,0,7,2,2,0,0,0,32,SPV,Speed Violation
98.0,Kwara,Q2 2021,64,0,10,6,3,0,0,16,3,0,0,0,0,2,0,0,37,SPV,Speed Violation
99.0,Lagos,Q2 2021,75,0,7,6,20,0,0,6,14,6,3,0,0,0,0,3,0,SPV,Speed Violation
100.0,Nasarawa,Q2 2021,107,1,6,2,5,3,2,43,37,1,10,4,1,2,0,0,48,SPV,Speed Violation
101.0,Niger,Q2 2021,114,0,7,1,2,2,2,16,1,2,6,4,0,0,0,18,14,SPV,Speed Violation
102.0,Ogun,Q2 2021,293,0,0,17,0,0,0,19,3,0,5,1,0,1,0,0,0,SPV,Speed Violation
103.0,Ondo,Q2 2021,90,2,9,3,5,0,0,13,13,5,3,2,0,2,0,1,0,SPV,Speed Violation
104.0,Osun,Q2 2021,61,0,15,3,7,1,1,8,4,2,4,3,0,0,0,3,0,SPV,Speed Violation
105.0,Oyo,Q2 2021,107,1,10,2,4,0,0,22,12,5,11,2,0,0,0,5,0,SPV,Speed Violation
106.0,Plateau,Q2 2021,31,0,2,3,17,0,0,10,17,1,2,4,0,0,0,0,6,SPV,Speed Violation
107.0,Rivers,Q2 2021,13,0,0,0,2,0,2,3,4,0,4,0,0,0,0,0,0,SPV,Speed Violation
108.0,Sokoto,Q2 2021,35,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,SPV,Speed Violation
109.0,Taraba,Q2 2021,28,0,1,0,0,3,0,2,21,0,1,0,0,0,0,0,21,SPV,Speed Violation
110.0,Yobe,Q2 2021,24,0,11,0,0,0,0,6,6,0,0,0,0,0,0,0,0,SPV,Speed Violation
111.0,Zamfara,Q2 2021,35,1,5,0,0,2,0,5,0,0,4,1,0,0,0,0,3,SPV,Speed Violation
112.0,Abia,Q3 2021,4,0,5,0,5,0,0,4,2,0,3,0,0,1,0,0,0,TBT,Tyre Burst
113.0,Adamawa,Q3 2021,66,0,2,1,0,0,0,15,1,0,4,6,0,0,0,0,0,SPV,Speed Violation
114.0,Akwa Ibom,Q3 2021,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,SPV,Speed Violation
115.0,Anambra,Q3 2021,20,0,4,1,32,0,0,5,1,0,9,56,0,3,0,0,3,OBS,Other
116.0,Bauchi,Q3 2021,69,0,7,7,0,2,1,15,6,1,8,0,4,0,1,0,5,SPV,Speed Violation
117.0,Bayelsa,Q3 2021,16,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,SPV,Speed Violation
118.0,Benue,Q3 2021,37,0,0,0,1,0,0,2,7,0,0,0,0,1,0,0,0,SPV,Speed Violation
119.0,Borno,Q3 2021,9,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,SPV,Speed Violation
120.0,Cross River,Q3 2021,24,0,5,1,1,0,0,7,0,0,0,0,0,0,0,1,0,SPV,Speed Violation
121.0,Delta,Q3 2021,30,0,2,4,2,0,2,3,0,0,6,0,2,0,0,0,15,SPV,Speed Violation
122.0,Ebonyi,Q3 2021,19,0,4,2,0,0,0,4,0,0,1,0,0,0,0,0,0,SPV,Speed Violation
123.0,Edo,Q3 2021,68,0,2,3,7,0,0,11,1,0,0,0,0,0,0,0,5,SPV,Speed Violation
124.0,Ekiti,Q3 2021,30,0,0,0,6,0,0,3,2,3,1,0,0,1,0,0,14,SPV,Speed Violation
125.0,Enugu,Q3 2021,45,0,6,1,21,0,0,7,2,0,1,0,0,0,0,0,17,SPV,Speed Violation
126.0,Fct,Q3 2021,260,0,12,0,3,2,0,5,19,1,25,4,0,0,0,2,87,SPV,Speed Violation
127.0,Gombe,Q3 2021,38,3,5,1,1,0,0,7,8,0,3,5,0,1,0,0,11,SPV,Speed Violation
128.0,Imo,Q3 2021,10,0,2,1,4,0,0,3,3,0,2,0,0,1,0,0,1,SPV,Speed Violation
129.0,Jigawa,Q3 2021,89,0,8,1,0,7,1,3,2,0,8,5,0,0,2,0,6,SPV,Speed Violation
130.0,Kaduna,Q3 2021,118,0,7,3,2,3,0,29,2,2,11,0,0,0,0,1,16,SPV,Speed Violation
131.0,Kano,Q3 2021,16,0,4,0,1,0,0,3,8,0,0,0,0,0,0,0,1,SPV,Speed Violation
132.0,Katsina,Q3 2021,21,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,SPV,Speed Violation
133.0,Kebbi,Q3 2021,41,0,0,1,0,1,0,4,8,0,2,0,0,0,0,1,0,SPV,Speed Violation
134.0,Kogi,Q3 2021,72,0,5,4,7,0,0,9,6,0,8,1,1,0,0,1,21,SPV,Speed Violation
135.0,Kwara,Q3 2021,65,0,5,5,3,0,0,7,4,0,1,1,1,0,0,0,14,SPV,Speed Violation
136.0,Lagos,Q3 2021,71,1,2,13,15,0,0,9,10,2,8,0,1,0,1,2,0,SPV,Speed Violation
137.0,Nasarawa,Q3 2021,126,0,9,1,4,1,0,32,34,0,9,1,0,0,0,0,37,SPV,Speed Violation
138.0,Niger,Q3 2021,162,2,5,0,2,0,0,27,6,0,11,3,0,0,0,25,26,SPV,Speed Violation
139.0,Ogun,Q3 2021,253,0,6,19,2,1,1,10,5,0,12,0,0,2,0,0,0,SPV,Speed Violation
140.0,Ondo,Q3 2021,72,0,2,1,4,0,1,11,12,5,4,1,0,0,0,0,0,SPV,Speed Violation
141.0,Osun,Q3 2021,78,0,8,4,6,1,0,17,9,2,9,0,0,0,0,0,0,SPV,Speed Violation
142.0,Oyo,Q3 2021,88,1,14,4,11,0,0,18,6,2,7,1,0,0,0,4,3,SPV,Speed Violation
143.0,Plateau,Q3 2021,23,0,4,5,15,0,0,9,10,0,0,2,0,0,0,0,2,SPV,Speed Violation
144.0,Rivers,Q3 2021,16,0,2,0,2,0,0,6,4,0,5,0,0,0,0,0,0,SPV,Speed Violation
145.0,Sokoto,Q3 2021,26,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,SPV,Speed Violation
146.0,Taraba,Q3 2021,18,0,0,0,0,1,0,6,15,0,2,0,4,0,0,0,20,SLV,Other
147.0,Yobe,Q3 2021,33,0,14,0,0,2,0,8,7,0,1,0,0,0,0,0,1,SPV,Speed Violation
148.0,Zamfara,Q3 2021,9,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,2,SPV,Speed Violation
149.0,Abia,Q4 2021,8,0,2,0,7,0,0,2,1,0,2,0,0,0,0,2,0,SPV,Speed Violation
150.0,Adamawa,Q4 2021,62,0,4,0,0,0,0,10,0,0,3,13,0,0,0,0,0,SPV,Speed Violation
151.0,Akwa Ibom,Q4 2021,12,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,SPV,Speed Violation
152.0,Anambra,Q4 2021,24,0,1,3,12,0,0,8,0,3,6,2,0,1,0,1,0,SPV,Speed Violation
153.0,Bauchi,Q4 2021,124,2,18,2,0,9,1,29,21,5,9,9,2,0,0,1,8,SPV,Speed Violation
154.0,Bayelsa,Q4 2021,16,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,SPV,Speed Violation
155.0,Benue,Q4 2021,34,1,2,0,0,0,0,3,4,1,1,0,0,1,0,0,0,SPV,Speed Violation
156.0,Borno,Q4 2021,13,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0,1,SPV,Speed Violation
157.0,Cross River,Q4 2021,48,0,2,1,3,2,0,6,3,0,2,2,0,0,0,0,0,SPV,Speed Violation
158.0,Delta,Q4 2021,29,0,7,4,1,1,0,1,3,0,6,0,2,0,0,0,17,SPV,Speed Violation
159.0,Ebonyi,Q4 2021,16,0,2,0,1,0,0,4,4,0,2,0,0,0,0,0,1,SPV,Speed Violation
160.0,Edo,Q4 2021,61,0,1,0,6,0,0,3,2,0,0,0,0,0,0,0,14,SPV,Speed Violation
161.0,Ekiti,Q4 2021,18,0,0,0,5,0,0,1,0,0,5,0,0,0,0,0,9,SPV,Speed Violation
162.0,Enugu,Q4 2021,24,0,8,0,14,0,0,2,1,0,0,0,0,0,0,0,13,SPV,Speed Violation
163.0,Fct,Q4 2021,172,0,8,3,4,0,3,6,31,0,15,5,2,0,0,0,74,SPV,Speed Violation
164.0,Gombe,Q4 2021,44,5,7,0,0,5,0,5,27,1,2,4,0,0,0,0,12,SPV,Speed Violation
165.0,Imo,Q4 2021,20,0,2,0,5,0,0,3,5,1,2,0,0,0,0,0,0,SPV,Speed Violation
166.0,Jigawa,Q4 2021,142,2,14,0,0,9,2,7,4,1,10,9,0,0,0,0,12,SPV,Speed Violation
167.0,Kaduna,Q4 2021,121,0,8,2,2,1,3,16,9,4,10,1,0,0,0,5,0,SPV,Speed Violation
168.0,Kano,Q4 2021,30,0,1,1,0,1,1,3,3,0,6,0,0,0,0,0,5,SPV,Speed Violation
169.0,Katsina,Q4 2021,11,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,SPV,Speed Violation
170.0,Kebbi,Q4 2021,47,1,0,0,0,0,0,8,5,0,0,0,0,0,0,0,1,SPV,Speed Violation
171.0,Kogi,Q4 2021,105,0,5,7,15,1,0,20,7,0,16,3,5,1,0,0,39,SPV,Speed Violation
172.0,Kwara,Q4 2021,64,0,4,6,2,0,0,18,9,0,3,0,0,0,0,0,26,SPV,Speed Violation
173.0,Lagos,Q4 2021,84,0,4,17,6,0,0,12,13,1,5,1,0,2,0,3,1,SPV,Speed Violation
174.0,Nasarawa,Q4 2021,92,1,4,25,9,4,8,22,20,22,4,6,0,3,0,0,33,SPV,Speed Violation
175.0,Niger,Q4 2021,154,0,7,2,7,2,0,21,6,1,6,3,0,0,0,3,9,SPV,Speed Violation
176.0,Ogun,Q4 2021,239,1,0,17,0,0,0,18,9,0,11,0,0,0,0,0,0,SPV,Speed Violation
177.0,Ondo,Q4 2021,95,1,6,1,9,1,0,10,29,5,2,0,0,0,0,2,1,SPV,Speed Violation
